timestamp,fruit_id,scan_no,nm410,nm435,nm460,nm485,nm510,nm535,nm560,nm585,nm610,nm645,nm680,nm705,nm730,nm760,nm810,nm860,nm900,nm940,label,diameter_cm,rotasi_buah,jarak_cm,ratio_810_680,ratio_730_680,ratio_860_810,red_edge_slope,ndvi_like
"2026-08-28T17:28:22,006",BOSOK_002,16,10.782617,24.2472,85.790001,58.493973,24.599077,20.890226,20.084995,26.116642,25.429148,16.827906,34.448463,21.270363,43.037876,44.81134,55.013851,53.301434,26.905972,24.307169,anomali,8.0,h,3,1.5969895385493575,1.2493406021218996,0.9688728082546323,0.17178826,0.22987764100561492
"2026-08-28T17:30:16,308",BOSOK_003,17,25.712395,58.752831,78.248024,0.0,25.32258,20.890226,13.389997,17.076265,24.273277,12.200233,30.395704,16.682638,40.690353,43.120346,53.419247,48.666527,23.848475,25.207434,anomali,7.0,a,3,1.757459851082952,1.3386871912270264,0.9110296498508019,0.20589298000000006,0.2746949079890403
"2026-08-28T17:30:44,208",BOSOK_003,18,36.49501,54.089905,72.591545,0.0,25.32258,21.586567,14.934997,27.623371,24.273277,148.506271,31.408895,17.933836,53.99297,60.875786,64.581474,61.412521,31.186468,79.223366,anomali,6.5,b,3,2.0561517187561935,1.7190338217776135,0.9509307807172718,0.45168149999999996,0.3455823317459763
"2026-08-28T17:31:11,755",BOSOK_003,19,26.541826,48.4944,70.706047,0.0,25.32258,20.890226,14.419996,24.10767,20.805666,84.560226,26.342943,16.265572,47.732918,49.884323,60.594967,57.93634,30.574968,57.616993,anomali,7.0,c,3,2.30023441183682,1.8119805323268046,0.9561244655642002,0.42779949999999994,0.39398255674853955
"2026-08-28T17:31:42,002",BOSOK_003,20,26.541826,56.887661,81.076271,0.0,28.940092,22.979248,18.024996,25.614399,26.585018,16.407209,31.408895,17.933836,52.427956,55.802803,62.189571,61.412521,28.740471,30.609028,anomali,7.5,d,3,1.9799980610594352,1.669206742482745,0.9875049809388489,0.42038122,0.3288587305630916
"2026-08-28T17:31:59,716",BOSOK_003,21,16.588642,36.3708,66.935059,0.0,25.32258,20.193886,20.599995,32.143559,26.585018,21.034883,29.382515,21.270363,46.167904,48.193329,64.581474,62.571247,33.632465,32.409557,anomali,7.5,e,3,2.197955213175178,1.5712708148806136,0.9688728583567389,0.33570777999999996,0.3746004786365042
"2026-08-28T17:32:43,077",BOSOK_003,22,61.377972,42.898891,65.049561,0.0,26.046082,16.015841,13.389997,42.690662,18.493925,81.194649,28.369324,12.929045,29.73526,31.28339,40.662411,40.555439,26.905972,90.926819,anomali,7.0,f,3,1.4333227209352184,1.0481479755569871,0.9973690204033842,0.02731872000000003,0.17807875202922946
"2026-08-28T17:33:46,369",BOSOK_003,23,52.254219,39.168552,65.049561,0.0,23.875576,15.319499,13.389997,38.170475,18.493925,66.47023,28.369324,12.511978,28.952753,31.28339,39.865108,39.396713,25.071474,73.82177,anomali,7.0,g,3,1.4052183248291976,1.0205651285292776,0.9882502542699108,0.011668580000000048,0.16847480045341326
"2026-08-28T17:34:04,936",BOSOK_003,24,12.441481,30.775291,51.851101,0.0,16.640553,14.623158,12.359997,17.076265,16.182184,12.200233,24.316565,12.094913,30.517767,32.128887,39.865108,38.237984,18.95648,19.805841,anomali,7.0,h,3,1.6394211767076572,1.2550191381804385,0.959184016462713,0.12402403999999997,0.24225826237682171
"2026-08-28T17:35:51,065",BOSOK_004,25,11.612049,26.112368,72.591545,0.0,21.705069,18.801203,12.874997,14.062807,23.117407,12.200233,27.356134,13.34611,33.647793,34.665379,41.459713,41.714165,17.121983,16.204779,anomali,9.5,a,3,1.5155539830467335,1.2299903451305125,1.0061370887596137,0.12583318,0.20494664478275695
