fold,accuracy,precision,recall,f1,roc_auc,model
1,0.7115384615384616,0.8611111111111112,0.5535714285714286,0.6739130434782609,0.78125,LogisticRegression
2,0.5961538461538461,0.575,0.4791666666666667,0.5227272727272727,0.5673363095238095,LogisticRegression
3,0.6538461538461539,0.6153846153846154,0.6666666666666666,0.64,0.7317708333333334,LogisticRegression
4,0.6442307692307693,0.5932203389830508,0.7291666666666666,0.6542056074766355,0.6941964285714286,LogisticRegression
5,0.6176470588235294,0.6285714285714286,0.4583333333333333,0.5301204819277109,0.6469907407407407,LogisticRegression
1,0.8173076923076923,0.8627450980392157,0.7857142857142857,0.822429906542056,0.8696056547619048,RandomForest
2,0.7115384615384616,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.7881324404761904,RandomForest
3,0.7884615384615384,0.76,0.7916666666666666,0.7755102040816326,0.8967633928571428,RandomForest
4,0.75,0.75,0.6875,0.717391304347826,0.8606770833333333,RandomForest
5,0.6372549019607843,0.6571428571428571,0.4791666666666667,0.5542168674698795,0.6529706790123456,RandomForest
1,0.7307692307692307,0.868421052631579,0.5892857142857143,0.7021276595744681,0.8686755952380952,SVM
2,0.6634615384615384,0.6585365853658537,0.5625,0.6067415730337079,0.7615327380952381,SVM
3,0.7884615384615384,0.8095238095238095,0.7083333333333334,0.7555555555555555,0.847842261904762,SVM
4,0.8269230769230769,0.875,0.7291666666666666,0.7954545454545454,0.8530505952380951,SVM
5,0.6176470588235294,0.68,0.3541666666666667,0.4657534246575342,0.6662808641975309,SVM
