model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogisticRegression,0.6446832579185521,0.04370309350202303,0.6546574988100413,0.11722390774654322,0.5773809523809523,0.11768189833194966,0.604193281121976,0.07205499509310828,0.6843088624338624,0.08188896009139686
RandomForest,0.7409125188536952,0.0703339372020967,0.7451080258190232,0.07789084550655738,0.6821428571428572,0.12667877784026035,0.7100798692542363,0.10259716744274446,0.8136298500881833,0.09838623626543198
SVM,0.7254524886877827,0.08625482159673453,0.7782962895042485,0.10302158247740435,0.5886904761904762,0.1497795763288866,0.6651265516551622,0.13199462318489105,0.7994764109347443,0.08540894544959735
