model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogisticRegression,0.6563725490196078,0.05784300205875403,0.6816585375408906,0.1531296127025871,0.5809523809523809,0.1293770231364374,0.6135321988655322,0.08128206865488337,0.6900821208112874,0.09021549607887835
RandomForest,0.7466817496229261,0.0785423993351336,0.7561348781937016,0.0815846099212656,0.6779761904761904,0.1398239498850295,0.7124337069676843,0.11430813108576891,0.8109953703703704,0.10100464233392124
SVM,0.7794871794871795,0.07355751773623218,0.8199656448202959,0.08102170773116409,0.6851190476190475,0.12374297089453197,0.7439087723870333,0.103343375026636,0.8240465167548502,0.08262487866217857
