dataset,n_rows,n_fruits,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
29082026,310,39,0.8416474654377881,0.05830100239068174,0.8747851335656215,0.10877287605035402,0.86625,0.10758354311882463,0.8613326695679635,0.04473768944633944,0.9396940104166667,0.08140378434540729
08092026_clean,518,65,0.8300597460791636,0.053897358874964454,0.8428899007968778,0.04849512712639623,0.7929761904761905,0.1127174140028999,0.8136889163770636,0.06345752493207743,0.9033373917748918,0.053817056627086884
