fold,accuracy,precision,recall,f1,roc_auc,model
1,0.6796116504854369,0.5573770491803278,0.85,0.6732673267326733,0.8738095238095238,LogisticRegression
2,0.6730769230769231,0.7894736842105263,0.5357142857142857,0.6382978723404256,0.6811755952380951,LogisticRegression
3,0.6730769230769231,0.8055555555555556,0.5178571428571429,0.6304347826086957,0.6945684523809523,LogisticRegression
4,0.5865384615384616,0.5641025641025641,0.4583333333333333,0.5057471264367817,0.5230654761904762,LogisticRegression
5,0.6990291262135923,0.7073170731707317,0.6041666666666666,0.651685393258427,0.7250000000000001,LogisticRegression
1,0.8155339805825242,0.7441860465116279,0.8,0.7710843373493976,0.903968253968254,RandomForest
2,0.6442307692307693,0.7111111111111111,0.5714285714285714,0.6336633663366337,0.6819196428571428,RandomForest
3,0.7788461538461539,0.8837209302325582,0.6785714285714286,0.7676767676767676,0.8571428571428572,RandomForest
4,0.7115384615384616,0.7142857142857143,0.625,0.6666666666666666,0.7834821428571429,RandomForest
5,0.7766990291262136,0.7450980392156863,0.7916666666666666,0.7676767676767676,0.8678030303030302,RandomForest
1,0.8932038834951457,0.8717948717948718,0.85,0.8607594936708861,0.9396825396825398,SVM
2,0.7211538461538461,0.9655172413793104,0.5,0.6588235294117647,0.8154761904761905,SVM
3,0.7980769230769231,0.8888888888888888,0.7142857142857143,0.7920792079207921,0.8359375000000001,SVM
4,0.7788461538461539,0.7659574468085106,0.75,0.7578947368421053,0.8087797619047619,SVM
5,0.7669902912621359,0.7307692307692307,0.7916666666666666,0.76,0.8132575757575757,SVM
